episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,17,-3.9241563826886114
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,17,-2.308213240674816
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,17,-2.843302768743249
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,17,-2.7977067514074547
human__k1-7tn4j5r_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,17,-2.5950445550827816
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,human,87,-1.3324318900456043
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,87,-2.5838005739249574
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,87,-3.108354706150237
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,87,-2.0654193427395975
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,87,-2.818280319230846
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,87,-2.0980787307562334
human__k1-7v5rqcw_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,87,-1.8201745922319206
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,human,196,-1.2686658456013
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,196,-3.8464616135322403
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,196,-3.9928562804118735
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,196,-1.5551901801279595
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,196,-2.0107588076906304
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,196,-2.5831215437012016
human__k1-844jdzzv_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,196,-2.634639524427988
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,human,52,-1.3754679739010167
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,52,-3.3330969202065757
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,52,-4.557090762959387
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart_only,52,-2.3127345048405483
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation_only,52,-3.0056678117379882
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text_only,52,-2.3972049206534662
human__k1-8sivzms8_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text_only,52,-2.553014436316007
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,human,14,-1.2978861089895077
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart_only,14,-2.420561420558915
human__k1-8wnwvt2o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation_only,14,-2.6824420947909857
