type,collection_name,version,aliases,full_name,created_at
episode_data,episode-distance_abstract_qwen25_7b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-00:latest,2026-05-05T19:33:17+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-01:latest,2026-05-05T19:33:35+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-02:latest,2026-05-05T19:33:42+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-03:latest,2026-05-05T19:33:50+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-04:latest,2026-05-05T19:33:56+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-05:latest,2026-05-05T19:34:02+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-06:latest,2026-05-05T19:34:15+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-07:latest,2026-05-05T19:34:23+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-08:latest,2026-05-05T19:34:34+00:00
episode_data,episode-distance_abstract_qwen25_7b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen25_7b_10runs-09:latest,2026-05-05T19:34:44+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-00:latest,2026-05-05T19:36:10+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-01:latest,2026-05-05T19:36:31+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-02:latest,2026-05-05T19:37:11+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-03:latest,2026-05-05T19:37:45+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-04:latest,2026-05-05T19:38:15+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-05:latest,2026-05-05T19:38:34+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-06:latest,2026-05-05T19:39:06+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-07:latest,2026-05-05T19:39:40+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-08:latest,2026-05-05T19:40:25+00:00
episode_data,episode-distance_abstract_qwen35_4b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_4b_10runs-09:latest,2026-05-05T19:40:55+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-00:latest,2026-05-05T19:43:25+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-01:latest,2026-05-05T19:44:08+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-02,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-02:latest,2026-05-05T19:45:07+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-03,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-03:latest,2026-05-05T19:45:38+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-04,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-04:latest,2026-05-05T19:46:27+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-05,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-05:latest,2026-05-05T19:47:12+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-06,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-06:latest,2026-05-05T19:47:54+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-07,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-07:latest,2026-05-05T19:48:35+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-08,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-08:latest,2026-05-05T19:49:23+00:00
episode_data,episode-distance_abstract_qwen35_9b_10runs-09,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_abstract_qwen35_9b_10runs-09:latest,2026-05-05T19:50:23+00:00
episode_data,episode-distance_concrete_gemma3_4b_10runs-00,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_concrete_gemma3_4b_10runs-00:latest,2026-05-05T18:46:43+00:00
episode_data,episode-distance_concrete_gemma3_4b_10runs-01,latest,latest,leyao-li-epfl/scientific-exploration/episode-distance_concrete_gemma3_4b_10runs-01:latest,2026-05-05T18:46:58+00:00
