episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,23,-4.677763023726885
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,23,-4.577202748910327
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,23,-4.24056684308059
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,23,-2.491228724775155
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,23,-2.6061932601645377
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,23,-2.375576592727839
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,23,-2.2645641090012005
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,23,-3.800211360991758
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,23,-4.372693224360349
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,23,-2.8670959448766427
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,23,-4.622074330624714
human__k1-2evmd4o_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,23,-2.1490023800684974
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,human,20,-1.4989187246209774
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,20,-3.6579844634736047
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,20,-4.711519367721414
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,20,-4.091252627499129
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,20,-3.085592818446231
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,20,-2.535165062383635
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,20,-2.305193672952421
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,20,-1.743669243507312
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,20,-3.072706143020394
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,20,-5.043489668810037
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,20,-2.484997272738664
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,20,-4.80556495509566
human__k1-2gyhzyv_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,20,-1.916753910741253
human__k1-2ry26mia_sim1.pkl,human,human,human,human,human,human,human,9,-2.1487770692414956
