episode_id,source,modality,prompt_condition,condition,model,length,true_hmm_group,pred_hmm_group,is_correct,best_mean_loglik_per_step
model_084,model,text,normal,text_normal,qwen35_9b,18,qwen35_9b__text__normal,qwen35_9b__text__normal,True,-0.9510608793159236
model_085,model,text,normal,text_normal,qwen35_4b,11,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-1.5451524596679536
model_086,model,text,normal,text_normal,qwen35_9b,11,qwen35_9b__text__normal,qwen35_9b__text__normal,True,-1.0165514491388141
model_087,model,text,normal,text_normal,qwen35_9b,7,qwen35_9b__text__normal,qwen35_4b__text__student,False,-1.618781612053995
model_088,model,text,normal,text_normal,qwen35_4b,4,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-0.8189906741392152
model_089,model,text,normal,text_normal,qwen35_4b,4,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-1.3682935763786142
model_090,model,text,normal,text_normal,qwen35_4b,5,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-0.9739825911906331
model_091,model,text,normal,text_normal,qwen35_4b,5,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-0.9739825911906331
model_092,model,text,normal,text_normal,qwen35_4b,7,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-1.0051334121300164
model_093,model,text,normal,text_normal,qwen35_4b,5,qwen35_4b__text__normal,qwen35_4b__text__normal,True,-0.9739825911906331
model_094,model,text,normal,text_normal,qwen35_4b,7,qwen35_4b__text__normal,qwen35_4b__text__student,False,-1.2943879250745989
model_095,model,text,normal,text_normal,qwen35_9b,5,qwen35_9b__text__normal,qwen35_4b__text__normal,False,-0.9739825911906331
model_096,model,text,student,text_student,qwen35_4b,11,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.5228246987654221
model_097,model,text,student,text_student,qwen35_4b,6,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.205410903546032
model_098,model,text,student,text_student,qwen35_4b,6,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.2054108608477407
model_099,model,text,student,text_student,qwen35_9b,6,qwen35_9b__text__student,qwen35_4b__text__student,False,-1.2054108608477407
model_100,model,text,student,text_student,qwen35_4b,15,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.8149453643618538
model_101,model,text,student,text_student,qwen35_9b,7,qwen35_9b__text__student,qwen35_4b__text__student,False,-1.2943879250745989
model_102,model,text,student,text_student,qwen35_4b,9,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.4183843169118513
model_103,model,text,student,text_student,qwen35_9b,7,qwen35_9b__text__student,qwen35_4b__text__student,False,-1.2943879250745989
model_104,model,text,student,text_student,qwen35_4b,7,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.2573766052430653
model_105,model,text,student,text_student,qwen35_9b,10,qwen35_9b__text__student,qwen35_9b__text__student,True,-1.814695159007313
model_106,model,text,student,text_student,qwen35_9b,7,qwen35_9b__text__student,qwen35_4b__text__student,False,-1.2943880470737832
model_107,model,text,student,text_student,qwen35_4b,11,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.5051341060962438
model_108,model,text,student,text_student,qwen35_4b,8,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.4310036625043692
model_109,model,text,student,text_student,qwen35_9b,12,qwen35_9b__text__student,qwen35_9b__text__student,True,-1.8505561760205325
model_110,model,text,student,text_student,qwen35_4b,7,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.2943879250745989
model_111,model,text,student,text_student,qwen35_9b,35,qwen35_9b__text__student,qwen35_9b__text__student,True,-1.740721048985453
model_112,model,text,student,text_student,qwen35_4b,7,qwen35_4b__text__student,qwen35_4b__text__student,True,-1.2943879250745989
model_113,model,text,student,text_student,qwen35_9b,9,qwen35_9b__text__student,qwen35_9b__text__student,True,-1.5205605491582834
model_114,model,text,student,text_student,qwen35_9b,7,qwen35_9b__text__student,qwen35_4b__text__student,False,-1.618781612053995
model_115,model,text,student,text_student,qwen35_9b,9,qwen35_9b__text__student,qwen35_9b__text__student,True,-1.4172446620894588
